Season,Player,Age,Team(s),Minutes,Offense Position,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON,Avg Speed Defense,Avg Speed Offense,Minutes Consistency,True Usage%,Years of Experience,Height,Weight,DHO Coverage Aggression,DHO Coverage Versatility,Defensive Positional Versatility,Foul Trouble%,Fouls Committed / 75,Fouls Drawn / 75,Guarded Ball Dominance%,Guarded O-LEBRON,Guarded Off-Ball%,Guarded USG%,Matchup Difficulty,Off-Ball Coverage Aggression,Off-Ball Coverage Versatility,Overall Coverage Versatility,Overall Coverage Aggression,P&R Coverage Aggression,P&R Coverage Versatility,Shot Location Versatility,Stable Avg 2PT Shot Distance,3PT Foul Rate%,3PT Openness Rating,3PT Pull Up Openness Rating,3PT Pull Up Shot Creation,3PT Pull Up Shot Making,3PT Pull Up Openness Rating,3PT Pull Up Shot Making Efficiency,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Pull Up%,3PT Pull Up Talent,3PT Pull Up Shot Quality,3PT Pull Up Talent,3PT Pull Up%,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Shot Quality,3PT Versatility,3PT Versatility Rating,3PTA Rate%,Avg. 3PT Shot Distance,C&S 3PT Openness Rating,C&S 3PT Shooting Talent,Stable C&S 3PT%,Drive Foul Rate,Floater Talent,Midrange Talent,Post Up Shot Making,Total Iso Impact / 75,Cut FG%,Stable ATB 3PT%,Stable Avg 3PT Shot Distance,Stable C&S 3PT%,Stable Corner 3PT%,Stable NonHeave ATB 3PT%,Stable Pull Up 3PT%,Movement Attack Rate%,Off Screen Poss/ 75 Poss,Finishing Talent,Screening Talent,Playmaking Talent,Stable Bad Pass Turnovers Per 75,Stable Non Bad Pass Turnovers Per 75,Post Up Impact / 75 Poss,Contested OReb%,OReb Per Game,Putback Shot Making,% Rim Shots Contested%,Post Defense,Bad Pass Steals,Pickpocket Rating,Defensive Rebounding Talent,Defensive RAPTOR,Offensive RAPTOR
2017-18,Aaron Brooks,33,MIN,189,PG,Secondary Ball Handler,Point of Attack,-0.1,-2.82,-1.61,-1.21,9.15,0,,50,1,77,185,,,36,3.17,5.45,2.14,,-0.27,,18.73,-0.78,106.05,41.94,154.96,16.67,154.96,16.67,7.69,0.58,0,0,0,0,-0.11,0.04,-0.73,0.38,1.48,0,-0.22,18.75,0.46,0.79,0.46,18.75,0.38,1.48,0,-0.22,0.67,46.98,0.04,44.93,29.33,0.02,-0.54,38.98,3.57,0.08,0.02,0,-0.58,0,33.87,28.67,35.73,37.79,34.88,33,0,0,-0.94,0.11,-0.92,0.89,1.28,0,14.29,0.22,0,21.3,-0.11,3,0.58,-1.42,-5.12,-1.77
2016-17,Aaron Brooks,32,IND,894,PG,Primary Ball Handler,Point of Attack,-0.1,-2.54,-1.45,-1.09,7.9,3.84,,16.67,1,76,203,,,50.8,2.69,3.99,2.36,,-0.16,,19.13,-0.23,107.83,44.77,153.92,16.67,153.92,16.67,0,0,0,0,0,0,0.35,-0.24,0.62,0.61,1.17,0.31,0.64,38.46,0.9,-0.76,0.9,38.46,0.61,1.17,0.31,0.64,-1.32,47.37,0.56,42.67,27.66,-0.55,-0.11,37.37,3.37,0.51,0.07,0,-0.22,50,34.87,28.34,36.86,39,34.88,33,0,0,-0.4,0.3,-0.26,1.25,1.45,0,22.22,0.28,0.13,20.8,-0.16,15,0.43,-1.45,-2.2,-0.83
2015-16,Aaron Brooks,31,CHI,1108,PG,Primary Ball Handler,Point of Attack,0.4,-1.66,-0.15,-1.51,7.8,4.28,,25,1,81,220,,,53.5,0.54,4.54,2.65,,0.09,,19.4,0.21,102.96,37.86,147.52,20,,,15.38,1.19,0,0.08,0,0,0,-0.16,-0.12,1.03,1.98,0.38,0.61,30.3,1.05,-0.42,1.05,30.3,1.03,1.98,0.38,0.61,-1.55,49.36,0.63,39.45,26.45,-0.62,0.27,38.36,2.81,1.41,0.58,0,-0.08,100,33.26,36.58,35.26,39.03,33.33,31,26.09,1.46,-0.33,-0.21,0.41,1.16,1.56,0,23.81,0.3,-0.86,19,-0.12,14,0.55,-1.23,-0.93,0.16
2014-15,Aaron Brooks,30,CHI,1885,PG,Primary Ball Handler,Point of Attack,2,-0.67,0.83,-1.5,6.45,5.92,,0,2,76,170,,,46.6,0.9,3.92,3.07,,0.37,,20.25,0.8,106.59,40.25,147.35,20,,,30.77,5.36,0,-0.01,0,0,0.53,-0.01,0.66,1.76,1.92,0.92,1.22,35.81,1.88,0.36,1.88,35.81,1.76,1.92,0.92,1.22,-0.98,54.91,1.22,38.31,25.89,-0.44,0.8,38.25,4.68,2.98,0.49,0,-0.39,44.44,35.12,28.04,37.3,39,35.22,33.88,11.57,0.3,6.24,-0.57,0.5,1.42,1.72,0,37.5,0.39,-0.76,15.5,-0.58,33,0.44,-0.95,-2.89,1.65
2013-14,Aaron Brooks,29,HOU/DEN,1557,PG,Shot Creator,Point of Attack,1.1,-1.24,0.18,-1.42,6.42,5.84,94.78,16.67,1,74,200,,,20,2.57,3.45,2.49,,0.56,,20.53,1.17,107.96,48.55,147.12,20,,,12.82,3.48,0,0,0,0,-0.25,-0.2,-0.63,1.17,1.42,0.63,0.76,30.11,0.52,0.02,0.52,30.11,1.17,1.42,0.63,0.76,-0.74,47.75,0.73,42.69,51.89,-0.46,0.93,40.25,3.65,0.38,-0.38,0,-0.88,71.43,35.05,27.32,37.96,39.34,35.24,33.45,18.71,0.27,7.51,-0.27,1.19,1.23,1.49,0,32.56,0.6,-0.07,21.3,-0.27,31,0.5,-1.18,-1.78,0.48
2022-23,Aaron Gordon,27,DEN,2055,PF,Shot Creator,Wing Stopper,6.4,2.47,1.76,0.71,6.16,4.66,,20,17,78,220,,,28,0.34,2.29,4.3,17.64,0.33,82.36,22.51,1.36,98.55,39.07,147.12,20,,,23.08,2.15,0,-0.02,0,0,0.35,0.18,0.48,-0.53,-0.08,-0.19,-0.54,38.98,0.2,0.31,0.2,38.98,-0.53,-0.08,-0.19,-0.54,0.73,48.21,-0.08,22.73,25.7,0.2,-1.12,35.49,16.67,-0.71,-0.96,0.28,-0.06,79.11,35.51,27.5,36.64,38.78,35.46,33.65,23.87,0.26,3.04,0.02,0.86,0.53,1.24,-0.02,68.9,2.41,0.17,38.1,0.15,36,0.32,-0.19,0.88,2.09
2021-22,Aaron Gordon,26,DEN,2376,PF,Shot Creator,Point of Attack,4.9,0.8,1.46,-0.66,6.15,4.66,,20,21,79,240,,,22,1.56,2.3,3.11,,0.59,,22.13,1.86,99.4,38.25,145.36,20,,,0,0,0,0,0,0,-0.16,0.3,-0.56,-0.73,-0.25,-0.4,-0.88,30,-0.38,0.46,-0.38,30,-0.73,-0.25,-0.4,-0.88,0.83,44.07,-0.41,31.18,25.26,0.09,-0.69,36.02,7.72,-0.67,-0.7,0.11,-0.09,76.85,35.38,27.73,38.02,39.67,35.44,33.88,10.67,0.17,5.14,-0.4,0.71,0.58,1.46,0.04,64,1.67,0.19,35.8,-0.05,31,0.2,-0.03,0.8,-0.36
2020-21,Aaron Gordon,25,ORL/DEN,1384,PF,Versatile Big,Wing Stopper,2.7,0.65,0.51,0.14,5.99,4.58,94.59,5,0,80,220,,,74.6,1.81,2.38,3.66,,0.48,,21.16,1.56,97.06,31.02,143.07,20,,,29.91,8.97,0,-0.12,0,-0.65,-0.38,-0.05,-1,-0.33,0.15,-0.23,-0.61,27.27,-0.38,-0.03,-0.38,27.27,-0.33,0.15,-0.23,-0.61,-0.17,55.96,0.13,35.27,51.81,0.25,-0.36,37.89,8.77,-0.03,-0.49,0.35,-0.11,66.07,33.39,26.07,33.69,36.7,33.43,34.49,19.65,0.71,-0.65,0.18,0.02,1.26,1.26,-0.18,64.94,1.54,0.17,36.2,-0.05,22,0.29,0.35,1.14,-0.44
2019-20,Aaron Gordon,24,ORL,2017,PF,Versatile Big,Wing Stopper,4.1,0.76,0.15,0.61,5.81,4.85,,0,5,79,216,,,33,1.59,2.29,3.75,,0.33,,20.08,0.98,94.07,27.6,143.07,20,,,15.38,2.77,0,-0.02,0.02,-0.5,-0.1,0.01,-0.43,-0.69,-0.11,-0.49,-0.99,29.41,-0.21,-1.06,-0.21,29.41,-0.69,-0.11,-0.49,-0.99,-0.26,52.74,-0.22,30.9,26.45,-0.06,-0.79,35.29,9.46,-0.6,-1.9,0.16,-0.15,76.06,32.51,25.15,34.1,36.47,33.49,32.32,18.54,0.69,-0.37,0.51,0.39,0.6,1.26,0.06,67.29,1.73,0.16,41.7,-0.02,35,0.29,1.15,-1.18,0.25
2018-19,Aaron Gordon,23,ORL,2633,PF,Versatile Big,Helper,5.8,0.98,-0.06,1.04,5.63,7.31,,84,1,67,160,120.13,20,46.33,1.37,2.43,3.69,,0.12,,20.46,0.63,97.33,31.1,143.07,20,,,19.23,3.73,0,-0.02,0,0,0.2,0.16,0.12,-0.25,-0.08,-0.17,-0.39,32.26,0.18,-0.29,0.18,32.26,-0.25,-0.08,-0.17,-0.39,0.16,48.73,-0.05,33.17,25.53,0.46,-0.43,36.77,8.58,-0.74,-0.98,0.09,-0.12,68.75,33.56,25.65,36.25,37.82,33.9,32.26,12.53,0.64,-0.59,-0.06,0.33,0.72,1.53,-0.22,58.14,1.65,0.12,37.9,-0.04,38,0.27,0.8,0.71,-0.01
