Season,Player,Age,Team,Minutes,Offense Position,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON,Avg Speed Defense,Avg Speed Offense,Minutes Consistency,True Usage%,Years of Experience,Height,Weight,DHO Coverage Aggression,DHO Coverage Versatility,Defensive Positional Versatility,Foul Trouble%,Fouls Committed / 75,Fouls Drawn / 75,Guarded Ball Dominance%,Guarded O-LEBRON,Guarded Off-Ball%,Guarded USG%,Matchup Difficulty,Off-Ball Coverage Aggression,Off-Ball Coverage Versatility,Overall Coverage Versatility,Overall Coverage Aggression,P&R Coverage Aggression,P&R Coverage Versatility,Shot Location Versatility,Stable Avg 2PT Shot Distance,3PT Foul Rate%,3PT Openness Rating,3PT Pull Up Openness Rating,3PT Pull Up Shot Creation,3PT Pull Up Shot Making,3PT Pull Up Shot Making Efficiency,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Pull Up%,3PT Pull Up Talent,3PT Pull Up Shot Quality,3PT Shot Quality,3PT Versatility,3PT Versatility Rating,3PTA Rate%,Avg. 3PT Shot Distance,C&S 3PT Openness Rating,C&S 3PT Shooting Talent,Stable C&S 3PT%,Drive Foul Rate,Floater Talent,Midrange Talent,Post Up Shot Making,Total Iso Impact / 75,Cut FG%,Stable ATB 3PT%,Stable Avg 3PT Shot Distance,Stable Corner 3PT%,Stable NonHeave ATB 3PT%,Stable Pull Up 3PT%,Movement Attack Rate%,Off Screen Poss/ 75 Poss,Finishing Talent,Screening Talent,Playmaking Talent,Stable Bad Pass Turnovers Per 75,Stable Non Bad Pass Turnovers Per 75,Post Up Impact / 75 Poss,Contested OReb%,OReb Per Game,Putback Shot Making,% Rim Shots Contested%,Post Defense,Bad Pass Steals,Pickpocket Rating,Defensive Rebounding Talent,Defensive RAPTOR,Offensive RAPTOR,Multiple Teams,Season Outcome
2024,Aaron Gordon,28,DEN 2024,2297,PF,Shot Creator,Wing Stopper,5.35,1.26,0.82,0.44,5.2,5.93,98.59,25,1,77,188,108.31,36,28.2,0.91,2.31,3.63,17.27,-0.1,82.73,22.62,1.24,95.47,34.84,132.11,18.89,102.09,16.67,32.05,3.6,0,0,0,0,-0.36,-1.11,-1.28,-0.26,-0.81,-2.01,26.83,-0.67,1.41,1.87,47.83,-0.83,19.27,25.01,0.7,-1.53,35.82,9.44,-0.75,-1.15,0.46,-0.39,79.14,33.92,26.59,37.35,34.22,33.56,23.47,0.1,0.01,1.34,0.36,0.46,1.27,0.09,71.26,2.38,0.16,34.3,-0.1,41,0.24,-0.19,-0.29,-0.73,No,2
2024,Aaron Holiday,27,HOU 2024,1269,PG,Secondary Ball Handler,Chaser,0.94,-1.28,-0.99,-0.29,4.91,3.78,98.59,18.18,1,76,210,108.31,36,32.4,0.95,3.58,1.83,20.28,-0.1,79.72,20.45,-0.09,116.29,50.75,126.44,45.69,141.25,16.67,41.03,9.39,0,0.29,0.32,-0.81,-0.26,-1.09,0.09,0.09,0.08,0.02,30.51,-0.21,0.44,0.55,38.76,-0.15,52.04,25.77,0.17,0.32,39.43,2.56,0.4,-0.14,1.13,0.09,50,34.3,26.08,39.7,35.22,32.9,6.37,0.38,1.51,-1.22,0.05,0.64,0.96,0,13.04,0.29,-0.06,36.1,-0.1,21,0.6,-0.77,-0.29,-0.73,No,0
2024,Aaron Nesmith,24,IND 2024,1995,SF,Movement Shooter,Wing Stopper,2.43,-0.52,-0.61,0.09,4.74,4.27,98.59,42.89,2,76,210,120.13,20,59.68,4.41,4.33,2.61,19.1,-0.1,80.9,22.65,1.59,101.03,37.79,126.19,20,110.22,43.33,15.38,5.59,0,-0.08,0,0,-0.09,-0.53,0.43,-0.74,0.64,0.75,35,-0.58,2.02,1.09,34.87,0.06,52.6,24.85,-0.01,1.2,40.44,8.23,-0.41,-0.1,1.13,0.01,59.09,35.2,27.99,38.78,35.18,33,0,2.56,0,-0.35,-0.24,0.42,0.82,0.02,49.21,0.88,0.42,39.2,-0.1,40,0.45,-0.68,-0.29,-0.73,No,3
2024,Aaron Wiggins,25,OKC 2024,1228,SG,Athletic Finisher,Helper,0.98,-1.18,-0.77,-0.42,4.69,4.03,98.59,20,1,73,186,108.31,36,56.4,1.06,2.71,1.76,18.09,-0.1,81.91,20.43,-0.33,108.02,51.11,126.07,20,110.22,43.33,19.23,3.95,0,-0.09,-0.05,-0.67,0.2,0.46,-0.01,-0.86,0.47,1.35,70,-0.28,0.72,1.8,29.49,0.17,33.42,24.71,0.23,0.13,41.08,5.08,-0.57,-0.51,0.59,-0.08,67.31,35.54,26.05,42.06,35.9,33.16,11.84,1.6,2.08,0.83,0.24,0.51,1.21,0.03,56.67,0.77,0.15,40.3,-0.1,37,0.56,-0.5,-0.29,-0.73,No,2
2024,Adam Flagler,24,OKC 2024,14,SG,Low Minute,Low Minute,0.01,-1.18,-0.15,-1.03,4.68,4.99,83.06,7.14,1,81,230,128.12,20,55.3,0,0,0,23.78,-0.1,76.22,17.53,-0.14,103.83,40,124.64,20,110.22,43.33,23.08,2.26,0,-0.07,0,0,-0.02,-0.53,0.28,0.86,-0.05,-0.48,25,-0.1,0.42,0.05,41.67,-0.3,85.71,26.5,0.02,-1.07,37.71,0,0,-0.68,0,0,0,36.27,25.47,39.65,36.2,32.2,12.6,1.42,1.26,0.02,-0.11,0.65,1.19,0,0,0,0,25,-0.1,21,0,-1.89,-0.29,-0.73,No,2
2024,Adama Sanogo,21,CHI 2024,66,PF,Low Minute,Low Minute,0.09,-0.34,-0.19,-0.15,4.67,4.85,98.59,16.86,2,77,205,111.23,37.78,80.29,12.17,2.71,3.8,10.7,-0.1,89.3,18.87,-0.52,109.02,41.67,124.6,26.67,102.09,33.33,46.56,9.41,4.76,-0.12,-0.08,-1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,25.54,0,0,38,0,0,-0.38,1.58,0,75,36.15,26.51,38.2,36.16,33.77,18.65,0.27,0.02,0.69,-0.11,0.48,1.5,1.1,68.42,2.11,-0.24,30,-0.1,21,0.54,-1.28,-0.29,-0.73,No,0
2024,Admiral Schofield,26,ORL 2024,84,PF,Low Minute,Low Minute,0.09,-0.81,-0.7,-0.11,4.61,3.8,103.13,7.69,11,82,240,82.92,20,63,0,3.85,1.29,10.68,-0.1,89.32,16.9,-1.02,107.11,53.68,124.22,18.33,122.37,16.67,33.33,13.71,0,-0.09,0,0,0,-0.34,-0.08,-0.29,-0.01,-0.28,50,-0.47,0.1,0,41.91,-0.19,61.54,25.58,-0.09,-0.26,37.88,0,-0.62,-0.61,0,0,66.67,34.54,25.99,38.29,34.63,33.77,14.16,0.12,-0.44,0.02,-0.32,0.61,1.35,0,33.33,0.13,0.79,19,-0.1,1,0,-1.34,-0.29,-0.73,No,1
2024,AJ Green,24,MIL 2024,614,SG,Movement Shooter,Chaser,0.52,-1.1,-0.44,-0.66,4.56,4.2,98.59,20.26,1,77,205,78.95,20,78.1,0.98,2.98,1.22,16.67,-0.1,83.33,19.46,-0.84,109.46,49.83,123.45,20,110.22,43.33,41.88,11.16,12.5,0.1,0.09,-0.27,0.01,-0.29,0.69,-0.13,0.29,0.66,34.48,-0.06,-0.51,-0.21,42.24,0.29,86.22,26.01,-0.37,1.42,39.45,0,0,-0.8,0,0.09,71.43,35.64,41.2,39,35.67,33.34,0,0,-0.66,-0.5,-0.13,0.38,0.71,0,44.44,0.16,-0.88,30.4,-0.1,4,0.3,-0.97,-0.29,-0.73,No,1
2024,AJ Griffin,20,ATL 2024,171,SF,Movement Shooter,Helper,0.08,-1.7,-1.71,0.01,4.55,4.94,91.66,18.11,1,84,260,109.73,33.33,63.4,0,1.22,0.2,16.19,-0.1,83.81,18.56,-0.9,112.13,60,122.27,30.56,128.84,27.78,41.26,6.92,0,-0.04,0.04,-0.63,-0.03,-0.5,0.02,0.33,-0.22,-1.09,31.25,0.12,-0.07,0.22,57.01,-0.03,62.9,25.92,0.08,-0.43,36.68,0,-0.33,-0.58,0,0,50,35.33,26.19,37.87,35.56,33.33,9.15,0.57,-0.17,-0.89,-0.06,0.77,1.09,0,0,0.1,0,49.3,-0.1,1,0,-1.18,-0.29,-0.73,No,0
2024,AJ Lawson,23,DAL 2024,311,SG,Athletic Finisher,Helper,0.25,-1.18,-0.61,-0.56,4.54,5.02,98.59,41.11,8,75,200,108.31,36,54.7,6.76,2.42,1.43,16.02,-0.1,83.98,18.86,-1.16,98.79,41.82,122.18,40.3,133.97,42.16,32.91,36.01,0,0.31,0,0,-0.03,-0.51,-0.57,-0.95,-0.25,-1.39,0,-0.62,0.04,1.74,15.5,-1.72,41.32,24.09,0.12,-0.16,36.18,7.69,-0.68,-0.56,0,0.12,85.71,34.87,29.95,38,34.88,33,0,0,-0.67,-0.11,-0.37,0.52,1.16,0,50,0.33,0.25,43.9,-0.1,9,0.11,-0.85,-0.29,-0.73,No,4
